"Trip ID,Employee ID,Travel Date,Segment Type,Origin,Destination,Carrier,Flight Number,Cabin Class,Distance (km),Hotel Name,Hotel City,Nights,Ground Type,Distance Notes,Amount (INR),Currency"
"TRIP-001,EMP-042,2024-04-03,flight,DEL,LHR,AI,AI-111,economy,,,,,,calculated,245000,INR"
"TRIP-001,EMP-042,2024-04-03,hotel,,,,,,,The Lalit London,London,3,,,42000,INR"
"TRIP-001,EMP-042,2024-04-06,ground,LHR,,,,,,,,taxi,15 km approx,3500,INR"
"TRIP-001,EMP-042,2024-04-07,flight,LHR,DEL,AI,AI-112,economy,,,,,,calculated,245000,INR"
"TRIP-002,EMP-017,2024-04-10,flight,BOM,SIN,SQ,SQ-422,business,,,,,,calculated,189000,INR"
"TRIP-002,EMP-017,2024-04-10,hotel,,,,,,,Marina Bay Sands,Singapore,2,,,38000,INR"
"TRIP-002,EMP-017,2024-04-12,flight,SIN,BOM,SQ,SQ-423,business,,,,,,calculated,189000,INR"
"TRIP-003,EMP-088,2024-04-15,flight,DEL,BOM,6E,6E-201,economy,1148,,,,,given,8500,INR"
"TRIP-004,EMP-055,2024-04-18,ground,DEL,,,,,,,,train,320 km,2200,INR"
"TRIP-005,EMP-031,2024-04-22,flight,MAA,DXB,EK,EK-544,economy,,,,,,calculated,156000,INR"
"TRIP-006,EMP-011,2024-05-02,flight,BLR,CDG,AF,AF-191,business,,,,,,calculated,312000,INR"
"TRIP-006,EMP-011,2024-05-02,hotel,,,,,,,Le Meurice,Paris,4,,,125000,INR"
"TRIP-006,EMP-011,2024-05-06,ground,CDG,,,,,,,,uber,35 km,5400,INR"
"TRIP-006,EMP-011,2024-05-07,flight,CDG,BLR,AF,AF-192,business,,,,,,calculated,312000,INR"
"TRIP-007,EMP-073,2024-05-10,flight,HYD,JFK,DL,DL-234,economy,,,,,,calculated,425000,INR"
"TRIP-007,EMP-073,2024-05-10,hotel,,,,,,,The Times Square EDITION,New York,5,,,187000,INR"
"TRIP-007,EMP-073,2024-05-15,flight,JFK,HYD,DL,DL-235,economy,,,,,,calculated,425000,INR"
"TRIP-008,EMP-099,2024-05-20,ground,BOM,,,,,,,,metro,5 km,120,INR"
"TRIP-009,EMP-034,2024-05-25,flight,CCU,BKK,TG,TG-313,economy,,,,,,calculated,112000,INR"
"TRIP-009,EMP-034,2024-05-25,hotel,,,,,,,Sheraton Grande Sukhumvit,Bangkok,3,,,34500,INR"
"TRIP-009,EMP-034,2024-05-28,flight,BKK,CCU,TG,TG-314,economy,,,,,,calculated,112000,INR"
"TRIP-010,EMP-056,2024-06-01,flight,BLR,SFO,UA,UA-415,business,,,,,,calculated,489000,INR"
"TRIP-010,EMP-056,2024-06-01,hotel,,,,,,,The Ritz-Carlton,San Francisco,6,,,210000,INR"
"TRIP-010,EMP-056,2024-06-07,ground,SFO,,,,,,,,taxi,25 km,6200,INR"
"TRIP-010,EMP-056,2024-06-08,flight,SFO,BLR,UA,UA-416,business,,,,,,calculated,489000,INR"
"TRIP-011,EMP-128,2024-06-12,flight,DEL,SYD,QF,QF-68,economy,,,,,,calculated,532000,INR"
"TRIP-011,EMP-128,2024-06-12,hotel,,,,,,,Sydney Harbour Marriott,Sydney,4,,,98000,INR"
"TRIP-011,EMP-128,2024-06-16,flight,SYD,DEL,QF,QF-67,economy,,,,,,calculated,532000,INR"
"TRIP-012,EMP-004,2024-06-20,ground,MAA,,,,,,,,train,650 km,4100,INR"
"TRIP-013,EMP-067,2024-06-25,flight,BOM,FRA,LH,LH-757,business,,,,,,calculated,278000,INR"
"TRIP-013,EMP-067,2024-06-25,hotel,,,,,,,Jumeirah Frankfurt,Frankfurt,2,,,62000,INR"
"TRIP-013,EMP-067,2024-06-27,flight,FRA,BOM,LH,LH-758,business,,,,,,calculated,278000,INR"
"TRIP-014,EMP-082,2024-07-01,flight,DEL,DXB,EK,EK-515,economy,2188,,,,,given,21500,INR"
"TRIP-015,EMP-045,2024-07-05,ground,BLR,,,,,,,,cab,45 km,890,INR"
