"MeterID,ConsumptionKWh,Unit,BillingEnd,TotalCost,Currency,Location"
"MTR-001,4500,kWh,2023-10-31,540,USD,Berlin HQ"
"MTR-002,12000,kWh,2023-10-31,1440,USD,Munich Plant"
"MTR-003,2.5,MWh,2023-11-30,300,EUR,London Office"
"MTR-004,-100,kWh,2023-11-30,0,USD,Test Site"
"MTR-005,3200,kWh,2023-12-31,384,USD,Hamburg Warehouse"
"MTR-006,7800,kWh,2023-12-31,936,EUR,Frankfurt Data Center"
"MTR-007,1.8,MWh,2024-01-31,216,USD,Stuttgart Factory"
"MTR-008,5600,kWh,2024-01-31,672,EUR,Cologne Office"
"MTR-009,0,kWh,2024-02-29,0,USD,Dresden Lab"
"MTR-010,9500,kWh,2024-02-29,1140,USD,Dusseldorf Plant"
"MTR-011,3.2,MWh,2024-03-31,384,EUR,Leipzig Logistics"
"MTR-012,4300,kWh,2024-03-31,516,GBP,Manchester Site"
"MTR-013,11200,kWh,2024-04-30,1344,USD,Bremen Port"
"MTR-014,-50,kWh,2024-04-30,0,EUR,Hannover Test Field"
"MTR-015,2700,kWh,2024-05-31,324,USD,Nuremberg Office"
"MTR-016,6.5,MWh,2024-05-31,780,EUR,Dortmund Smelter"
"MTR-017,8900,kWh,2024-06-30,1068,USD,Essen HQ"
"MTR-018,1.2,MWh,2024-06-30,144,GBP,Bristol Workshop"
"MTR-019,13400,kWh,2024-07-31,1608,USD,Munich Innovation Center"
"MTR-020,4100,kWh,2024-07-31,492,EUR,Berlin EV Charging Hub"
"MTR-021,0.9,MWh,2024-08-31,108,USD,Hamburg Green Energy Lab"
"MTR-022,7300,kWh,2024-08-31,876,USD,Frankfurt Airport Site"
"MTR-023,-200,kWh,2024-09-30,0,EUR,Stuttgart Test Site"
"MTR-024,15000,kWh,2024-09-30,1800,USD,Cologne Manufacturing"
"MTR-025,2.2,MWh,2024-10-31,264,GBP,Leeds Data Hub"
"MTR-026,5100,kWh,2024-10-31,612,EUR,Dresden Silicon Saxony"
"MTR-027,9800,kWh,2024-11-30,1176,USD,Dusseldorf Port"
"MTR-028,4.1,MWh,2024-11-30,492,USD,Bremen Wind Farm"
"MTR-029,3500,kWh,2024-12-31,420,EUR,Hannover Industrial Park"
"MTR-030,0.6,MWh,2024-12-31,72,GBP,Cambridge R&D"
