"Belegdatum,Buchungsdatum,Werk,Material,Materialkurztext,Menge,Mengeneinheit,Kostenstelle,Lieferant,Betrag_in_Hauswaehrung,Waehrung"
"01.04.2024,03.04.2024,1000,10000048,Diesel EN590,1250.50,L,CC-FLEET-01,SHELL-IN-001,87535.00,INR"
"15.04.2024,16.04.2024,1000,10000048,Diesel EN590,980.00,L,CC-FLEET-01,BHARAT-002,68600.00,INR"
"02.04.2024,04.04.2024,2500,10000052,LPG 50 KG CYL,200.00,KG,CC-MFGT-05,INDANE-003,18000.00,INR"
"10.04.2024,12.04.2024,2500,10000049,Benzin 95,450.75,L,CC-GEN-02,HP-004,36060.00,INR"
"20.04.2024,22.04.2024,3000,10000063,HSD (High Speed Diesel),3200.00,L,CC-GENSET-01,IOCL-005,224000.00,INR"
"25.04.2024,25.04.2024,1000,10000048,Diesel EN590,,L,CC-FLEET-01,SHELL-IN-001,,INR"
"01.05.2024,02.05.2024,2500,10000055,Furnace Oil,5000.00,KG,CC-BOILER-01,RIL-006,350000.00,INR"
"05.05.2024,07.05.2024,1000,10000048,Diesel EN590,1100.25,GAL,CC-FLEET-02,SHELL-IN-001,303519.00,INR"
"08.05.2024,09.05.2024,1000,10000048,Diesel EN590,870.50,L,CC-FLEET-03,BHARAT-002,60935.00,INR"
"12.05.2024,14.05.2024,2500,10000052,LPG 50 KG CYL,320.00,KG,CC-MFGT-05,INDANE-003,28800.00,INR"
"18.05.2024,20.05.2024,3000,10000049,Benzin 95,680.20,L,CC-GEN-02,HP-004,54416.00,INR"
"22.05.2024,23.05.2024,1000,10000048,Diesel EN590,2100.00,L,CC-FLEET-01,SHELL-IN-001,147000.00,INR"
"28.05.2024,29.05.2024,2500,10000055,Furnace Oil,4200.00,KG,CC-BOILER-01,RIL-006,294000.00,INR"
"02.06.2024,03.06.2024,1000,10000048,Diesel EN590,1500.00,L,CC-FLEET-02,SHELL-IN-001,105000.00,INR"
"07.06.2024,09.06.2024,2500,10000052,LPG 50 KG CYL,250.00,KG,CC-MFGT-05,INDANE-003,22500.00,INR"
"14.06.2024,15.06.2024,3000,10000063,HSD (High Speed Diesel),4100.00,L,CC-GENSET-01,IOCL-005,287000.00,INR"
"19.06.2024,21.06.2024,1000,10000049,Benzin 95,390.50,L,CC-GEN-02,HP-004,31240.00,INR"
"25.06.2024,26.06.2024,1000,10000048,Diesel EN590,3000.00,L,CC-FLEET-03,BHARAT-002,210000.00,INR"
"30.06.2024,01.07.2024,2500,10000055,Furnace Oil,6800.00,KG,CC-BOILER-01,RIL-006,476000.00,INR"
"05.07.2024,07.07.2024,1000,10000048,Diesel EN590,1250.00,GAL,CC-FLEET-01,SHELL-IN-001,345000.00,INR"
"10.07.2024,11.07.2024,2500,10000052,LPG 50 KG CYL,180.00,KG,CC-MFGT-05,INDANE-003,16200.00,INR"
"15.07.2024,17.07.2024,3000,10000049,Benzin 95,720.00,L,CC-GEN-02,HP-004,57600.00,INR"
"22.07.2024,23.07.2024,1000,10000048,Diesel EN590,2650.00,L,CC-FLEET-02,SHELL-IN-001,185500.00,INR"
"28.07.2024,30.07.2024,2500,10000055,Furnace Oil,5300.00,KG,CC-BOILER-01,RIL-006,371000.00,INR"
"01.08.2024,02.08.2024,1000,10000048,Diesel EN590,940.00,L,CC-FLEET-03,BHARAT-002,65800.00,INR"
"05.08.2024,06.08.2024,2500,10000052,LPG 50 KG CYL,400.00,KG,CC-MFGT-05,INDANE-003,36000.00,INR"
"12.08.2024,14.08.2024,3000,10000063,HSD (High Speed Diesel),3750.00,L,CC-GENSET-01,IOCL-005,262500.00,INR"
"18.08.2024,19.08.2024,1000,10000049,Benzin 95,510.25,L,CC-GEN-02,HP-004,40820.00,INR"
"25.08.2024,27.08.2024,1000,10000048,Diesel EN590,1950.00,L,CC-FLEET-01,SHELL-IN-001,136500.00,INR"
"01.09.2024,02.09.2024,2500,10000055,Furnace Oil,4600.00,KG,CC-BOILER-01,RIL-006,322000.00,INR"
"08.09.2024,10.09.2024,1000,10000048,Diesel EN590,3050.00,L,CC-FLEET-02,SHELL-IN-001,213500.00,INR"
"15.09.2024,16.09.2024,2500,10000052,LPG 50 KG CYL,275.00,KG,CC-MFGT-05,INDANE-003,24750.00,INR"
"22.09.2024,24.09.2024,3000,10000049,Benzin 95,660.80,L,CC-GEN-02,HP-004,52864.00,INR"
"29.09.2024,30.09.2024,1000,10000048,Diesel EN590,1350.00,GAL,CC-FLEET-03,SHELL-IN-001,372600.00,INR"
"05.10.2024,07.10.2024,2500,10000055,Furnace Oil,7200.00,KG,CC-BOILER-01,RIL-006,504000.00,INR"
"12.10.2024,14.10.2024,1000,10000048,Diesel EN590,2200.00,L,CC-FLEET-01,BHARAT-002,154000.00,INR"
"20.10.2024,21.10.2024,2500,10000052,LPG 50 KG CYL,310.00,KG,CC-MFGT-05,INDANE-003,27900.00,INR"
"28.10.2024,29.10.2024,3000,10000063,HSD (High Speed Diesel),5000.00,L,CC-GENSET-01,IOCL-005,350000.00,INR"
