"Materialnummer,Materialtext,Werk,Menge,Mengeneinheit,Buchungsdatum,Belegnummer,Lieferant,Betrag,Währung"
"DIESEL,Diesel EN590,1000,1250.50,L,03.04.2024,INV-001,SHELL-IN-001,87535.00,INR"
"DIESEL,Diesel EN590,1000,980.00,L,16.04.2024,INV-002,BHARAT-002,68600.00,INR"
"NATGAS,LPG 50 KG CYL,2500,200.00,KG,04.04.2024,INV-003,INDANE-003,18000.00,INR"
"BENZIN,Benzin 95,2500,450.75,L,12.04.2024,INV-004,HP-004,36060.00,INR"
"FUELOIL,HSD (High Speed Diesel),3000,3200.00,L,22.04.2024,INV-005,IOCL-005,224000.00,INR"
"DIESEL,Diesel EN590,1000,,L,25.04.2024,INV-006,SHELL-IN-001,,INR"
"FUELOIL,Furnace Oil,2500,5000.00,KG,02.05.2024,INV-007,RIL-006,350000.00,INR"
"DIESEL,Diesel EN590,1000,1100.25,GAL,07.05.2024,INV-008,SHELL-IN-001,303519.00,INR"
"DIESEL,Diesel EN590,1000,870.50,L,09.05.2024,INV-009,BHARAT-002,60935.00,INR"
"NATGAS,LPG 50 KG CYL,2500,320.00,KG,14.05.2024,INV-010,INDANE-003,28800.00,INR"
"DIESEL,Diesel EN590,1000,1500.00,L,03.06.2024,INV-011,SHELL-IN-001,105000.00,INR"
"DIESEL,Diesel EN590,1000,3000.00,L,26.06.2024,INV-012,BHARAT-002,210000.00,INR"
"DIESEL,Diesel EN590,1000,999999.00,L,15.07.2025,INV-013,SHELL-IN-001,70000000.00,INR"
